school_code,candidate_code,lw_code,promotion_to_full_professor,candidate_discipline_cip_category_as_numeric,candidate_discipline_stem_status_sbs_included,candidate_urm_num,candidate_gender_num,gender_by_urm_candidate,woman_urm_candidate_num,h_index_at_pt_standardized,number_of_external_grantsawarded_as_the_pi,years_in_present_rank,department_negative_vote_percentage,college_committee_negative_vote_percentage,department_unanimous_vote_abstentions_excluded,college_committee_unanimous_vote_abstentions_excluded,provost_vote,scholarship,tone,clout,authentic,analytic
4,400308,400308c,0,E,1,0,0,Man non-URM,0,-0.043142818,3,5,0,0,1,1,1,0.61,80.58,44.1,21.46,79.96
4,400308,400308d,0,E,1,0,0,Man non-URM,0,-0.043142818,3,5,0,0,1,1,1,0,20.23,64.67,1,82.63
4,400308,400308e,0,E,1,0,0,Man non-URM,0,-0.043142818,3,5,0,0,1,1,1,,,,,
4,400309,400309a,1,T,1,1,1,Woman URM,1,0.540329003,10,8,0.043478261,0,0,1,1,0.45,44.85,33.65,20.47,77.97
4,400309,400309b,1,T,1,1,1,Woman URM,1,0.540329003,10,8,0.043478261,0,0,1,1,0.22,77.92,40.06,16.47,86.19
4,400309,400309c,1,T,1,1,1,Woman URM,1,0.540329003,10,8,0.043478261,0,0,1,1,0,72.85,65.45,12.83,88.17
4,400309,400309d,1,T,1,1,1,Woman URM,1,0.540329003,10,8,0.043478261,0,0,1,1,0.75,48.06,33.36,23.29,79.92
4,400309,400309e,1,T,1,1,1,Woman URM,1,0.540329003,10,8,0.043478261,0,0,1,1,0.41,82.62,48.24,20.09,87.72
4,400309,400309f,1,T,1,1,1,Woman URM,1,0.540329003,10,8,0.043478261,0,0,1,1,0.67,59.94,49.08,28.61,74.37
4,400309,400309g,1,T,1,1,1,Woman URM,1,0.540329003,10,8,0.043478261,0,0,1,1,0,58.78,43.1,17.42,92.11
4,400310,400310a,1,E,1,,0,,,,32,5,0.8,0.571428571,0,0,0,0.14,61.6,55.32,21.86,89.33
4,400310,400310b,1,E,1,,0,,,,32,5,0.8,0.571428571,0,0,0,0.74,61.59,69.45,1.6,80.86
4,400310,400310c,1,E,1,,0,,,,32,5,0.8,0.571428571,0,0,0,0.48,68.47,62.08,9.73,77.09
4,400310,400310d,1,E,1,,0,,,,32,5,0.8,0.571428571,0,0,0,1.09,63.25,46.52,22.37,91.28
4,400310,400310e,1,E,1,,0,,,,32,5,0.8,0.571428571,0,0,0,0.48,60.06,35.23,29.9,82.04
4,400310,400310f,1,E,1,,0,,,,32,5,0.8,0.571428571,0,0,0,0.68,79.99,37.14,7.08,83.78
4,400310,400310g,1,E,1,,0,,,,32,5,0.8,0.571428571,0,0,0,0,38.58,44.34,27.05,95.4
4,400310,400310h,1,E,1,,0,,,,32,5,0.8,0.571428571,0,0,0,0.19,66.03,54.6,11.26,87.18
4,400310,400310i,1,E,1,,0,,,,32,5,0.8,0.571428571,0,0,0,0.37,53.48,41.72,31.64,85.81
4,400310,400310j,1,E,1,,0,,,,32,5,0.8,0.571428571,0,0,0,0,35.66,48.12,29.9,73.13
4,400311,400311a,0,N,0,0,0,Man non-URM,0,,0,5,0,0,1,1,1,0.31,69.28,60.1,15.79,87.52
4,400311,400311b,0,N,0,0,0,Man non-URM,0,,0,5,0,0,1,1,1,0.11,64.05,56.65,19.33,83.16
4,400311,400311c,0,N,0,0,0,Man non-URM,0,,0,5,0,0,1,1,1,0.14,74.45,55.08,14.1,86
4,400311,400311d,0,N,0,0,0,Man non-URM,0,,0,5,0,0,1,1,1,0,73.53,68.5,2.87,90.8
4,400311,400311e,0,N,0,0,0,Man non-URM,0,,0,5,0,0,1,1,1,0.08,54.19,45.19,17.25,94.43
4,400312,400312a,1,V,0,0,0,Man non-URM,0,,6,7,0,,1,,1,0,58.83,31.64,40.77,89.96
4,400312,400312b,1,V,0,0,0,Man non-URM,0,,6,7,0,,1,,1,0,68.05,70.36,13.92,86.86
4,400312,400312c,1,V,0,0,0,Man non-URM,0,,6,7,0,,1,,1,0.08,63.89,41.07,29.78,86.08
4,400312,400312d,1,V,0,0,0,Man non-URM,0,,6,7,0,,1,,1,0,46.42,62.97,13.1,92.53
4,400312,400312e,1,V,0,0,0,Man non-URM,0,,6,7,0,,1,,1,0,48.41,61.1,23.61,96.5
4,400313,400313a,1,O,1,0,0,Man non-URM,0,,14,19,0.153846154,0,0,1,1,0,49.66,40.06,1,98.28
4,400313,400313b,1,O,1,0,0,Man non-URM,0,,14,19,0.153846154,0,0,1,1,0,20.23,40.06,1,95.8
4,400313,400313c,1,O,1,0,0,Man non-URM,0,,14,19,0.153846154,0,0,1,1,0.13,71.43,54.29,8.81,83.64
4,400313,400313d,1,O,1,0,0,Man non-URM,0,,14,19,0.153846154,0,0,1,1,0,20.23,40.06,1,89.52
4,400314,400314a,1,U,1,0,1,Woman non-URM,0,-0.334878729,7,5,0,0,1,1,1,0,68.23,59.66,11.36,83.14
